STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       1046;20200422;    9;   0.0;   0;   0;   0;eor
       1046;20200423;    9;   0.0;   0;   0;   0;eor
       1046;20200424;    9;   0.0;   0;   0;   0;eor
       1046;20200425;    9;   0.0;   0;   0;   0;eor
       1046;20200426;    9;   0.0;   0;   0;   0;eor
       1046;20200427;    9;   0.0;   0;   0;   0;eor
       1046;20200428;    9;  12.7;   4;   0;   0;eor
       1046;20200429;    9;   2.9;   4;   0;   0;eor
       1046;20200430;    9;   3.2;   4;   0;   0;eor
       1046;20200501;    9;   2.1;   4;-999;-999;eor
       1046;20200503;    9;   3.5;   4;-999;-999;eor
       1046;20200504;    9;   0.3;   4;-999;-999;eor
       1046;20200505;    9;   0.0;   0;-999;-999;eor
       1046;20200506;    9;   0.0;   0;-999;-999;eor
       1046;20200507;    9;   0.0;   0;-999;-999;eor
       1046;20200508;    9;   0.0;   0;-999;-999;eor
       1046;20200509;    9;   0.0;   0;-999;-999;eor
       1046;20200510;    9;   0.4;   4;-999;-999;eor
       1046;20200511;    9;   0.0;   0;-999;-999;eor
       1046;20200512;    9;   0.0;   0;-999;-999;eor
       1046;20200513;    9;   0.0;   0;-999;-999;eor
       1046;20200514;    9;   0.0;   0;-999;-999;eor
       1046;20200515;    9;   0.0;   0;-999;-999;eor
       1046;20200516;    9;   0.0;   0;-999;-999;eor
       1046;20200517;    9;   0.0;   0;-999;-999;eor
       1046;20200518;    9;   0.0;   0;-999;-999;eor
       1046;20200519;    9;   0.0;   0;-999;-999;eor
       1046;20200520;    9;   0.1;   4;-999;-999;eor
       1046;20200521;    9;   0.0;   4;-999;-999;eor
       1046;20200522;    9;   0.8;   4;-999;-999;eor
       1046;20200523;    9;   2.3;   4;-999;-999;eor
       1046;20200524;    9;   5.4;   4;-999;-999;eor
       1046;20200525;    9;   0.0;   0;-999;-999;eor
       1046;20200526;    9;   0.0;   0;-999;-999;eor
       1046;20200527;    9;   0.0;   0;-999;-999;eor
       1046;20200528;    9;   0.0;   0;-999;-999;eor
       1046;20200529;    9;   0.0;   0;-999;-999;eor
       1046;20200530;    9;   0.0;   0;-999;-999;eor
       1046;20200531;    9;   0.0;   0;-999;-999;eor
       1046;20200601;    9;   0.0;   0;-999;-999;eor
       1046;20200602;    9;   0.0;   0;-999;-999;eor
       1046;20200603;    9;   0.0;   0;-999;-999;eor
       1046;20200606;    9;   0.4;   4;-999;-999;eor
       1046;20200607;    9;   0.0;   0;-999;-999;eor
       1046;20200608;    9;   0.0;   0;-999;-999;eor
       1046;20200609;    9;   0.2;   4;-999;-999;eor
       1046;20200610;    9;   0.1;   4;-999;-999;eor
       1046;20200611;    9;   0.1;   4;-999;-999;eor
       1046;20200612;    9;   0.0;   0;-999;-999;eor
       1046;20200613;    9;   0.0;   0;-999;-999;eor
       1046;20200614;    9;  50.0;   4;-999;-999;eor
       1046;20200615;    9;   0.2;   4;-999;-999;eor
       1046;20200616;    9;   0.8;   4;-999;-999;eor
       1046;20200617;    9;  11.0;   4;-999;-999;eor
       1046;20200618;    9;   0.9;   4;-999;-999;eor
       1046;20200619;    9;   0.0;   0;-999;-999;eor
       1046;20200620;    9;   0.0;   0;-999;-999;eor
       1046;20200621;    9;   0.9;   4;-999;-999;eor
       1046;20200622;    9;   0.0;   0;-999;-999;eor
       1046;20200623;    9;   0.0;   0;-999;-999;eor
       1046;20200624;    9;   0.0;   0;-999;-999;eor
       1046;20200625;    9;   0.0;   0;-999;-999;eor
       1046;20200626;    9;   0.4;   4;-999;-999;eor
       1046;20200627;    9;   1.2;   4;-999;-999;eor
       1046;20200628;    9;   0.1;   4;-999;-999;eor
       1046;20200629;    9;   2.8;   4;-999;-999;eor
       1046;20200630;    9;   1.5;   4;-999;-999;eor
       1046;20200701;    9;  13.8;   4;-999;-999;eor
       1046;20200702;    9;   1.5;   4;-999;-999;eor
       1046;20200703;    9;   0.0;   0;-999;-999;eor
       1046;20200704;    9;   1.2;   4;-999;-999;eor
       1046;20200705;    9;   0.4;   4;-999;-999;eor
       1046;20200706;    9;   4.4;   4;-999;-999;eor
       1046;20200707;    9;   2.0;   4;-999;-999;eor
       1046;20200708;    9;   2.1;   4;-999;-999;eor
       1046;20200709;    9;   1.6;   4;-999;-999;eor
       1046;20200710;    9;   3.0;   4;-999;-999;eor
       1046;20200711;    9;   0.0;   0;-999;-999;eor
       1046;20200712;    9;   0.0;   0;-999;-999;eor
       1046;20200713;    9;   0.0;   0;-999;-999;eor
       1046;20200714;    9;   2.7;   4;-999;-999;eor
       1046;20200715;    9;   0.0;   0;-999;-999;eor
       1046;20200716;    9;   1.9;   4;-999;-999;eor
       1046;20200717;    9;   1.0;   4;-999;-999;eor
       1046;20200718;    9;   0.0;   0;-999;-999;eor
       1046;20200719;    9;   1.9;   4;-999;-999;eor
       1046;20200720;    9;   0.0;   0;-999;-999;eor
       1046;20200721;    9;   0.0;   0;-999;-999;eor
       1046;20200722;    9;   0.0;   0;-999;-999;eor
